iter	Logloss
0	0.6920680339
1	0.6907916667
2	0.6899488118
3	0.68906486
4	0.6881636556
5	0.687168457
6	0.6864017741
7	0.6854632975
8	0.6845553385
9	0.6838288574
10	0.6833853353
11	0.6824638672
12	0.6815119629
13	0.6807282715
14	0.6799887695
15	0.6793516439
16	0.6785608317
17	0.6776245931
18	0.6770119629
19	0.6761816406
20	0.6752533366
21	0.6746780599
22	0.6741385498
23	0.6736213379
24	0.6729189453
25	0.6721682129
26	0.6715480957
27	0.6709025472
28	0.6702925618
29	0.6696499023
30	0.6689135742
31	0.6682923177
32	0.6677153727
33	0.6672456055
34	0.6664471842
35	0.6657421061
36	0.665392863
37	0.6648108724
38	0.6641424561
39	0.6635308431
40	0.6629648844
41	0.66252889
42	0.6620643311
43	0.6615844727
44	0.6610975342
45	0.6605939941
46	0.6599732259
47	0.6594776611
48	0.6588060303
49	0.6584209798
50	0.6580904541
51	0.6575310465
52	0.6569763997
53	0.6565053304
54	0.6559171549
55	0.6554243164
56	0.6550766195
57	0.6546726074
58	0.6541033529
59	0.6536769613
60	0.6532428792
61	0.6527880452
62	0.6522746175
63	0.6517705892
64	0.6513017578
65	0.6506469727
66	0.6501877441
67	0.6497633464
68	0.6493404134
69	0.6487911784
70	0.6483486328
71	0.6478789876
72	0.6474781901
73	0.6469020996
74	0.6466503499
75	0.6462416585
76	0.6459123535
77	0.6454685465
78	0.6449766032
79	0.6445175781
80	0.6440117187
81	0.6435982259
82	0.643232666
83	0.64287618
84	0.6425426839
85	0.6420281576
86	0.6414770508
87	0.6411828206
88	0.640750651
89	0.6402224935
90	0.6398673503
91	0.639548055
92	0.6390138346
93	0.638595459
94	0.6383097331
95	0.6378723145
96	0.6374581706
97	0.6372198079
98	0.6368000488
99	0.6363321126
100	0.6362450358
101	0.6358133952
102	0.6355696615
103	0.6352913411
104	0.6349503988
105	0.6347375895
106	0.6344778239
107	0.6340581055
108	0.6335756429
109	0.6332884115
110	0.6329764811
111	0.6326535645
112	0.6324441732
113	0.6321565755
114	0.6318529867
115	0.6315511475
116	0.6313008626
117	0.6310125326
118	0.6305506592
119	0.6300939128
120	0.6297078857
121	0.629530599
122	0.629258138
123	0.629049764
124	0.6284911702
125	0.6280777995
126	0.6278088379
127	0.6273957113
128	0.627040568
129	0.6267823893
130	0.626574707
131	0.6262991536
132	0.6259250488
133	0.6256038411
134	0.6253629557
135	0.6250280762
136	0.6247331543
137	0.6244655762
138	0.6241662191
139	0.6238382161
140	0.6236236572
141	0.6232831217
142	0.6230375977
143	0.6228021647
144	0.6224349772
145	0.6220894368
146	0.6218282064
147	0.6214568685
148	0.6209239095
149	0.6207217611
150	0.6205247803
151	0.6203983154
152	0.6201764323
153	0.6198940837
154	0.6195828451
155	0.6190300293
156	0.6187782389
157	0.618639974
158	0.6184081217
159	0.618244222
160	0.6179521484
161	0.6174796549
162	0.6172542318
163	0.6170826009
164	0.6168350423
165	0.6164466146
166	0.616277181
167	0.6161187744
168	0.6158445638
169	0.615556722
170	0.6154001465
171	0.6151200358
172	0.614934082
173	0.6146921387
174	0.6145793864
175	0.6142301025
176	0.6141191406
177	0.6138339844
178	0.6135035807
179	0.613174764
180	0.612976888
181	0.6128122559
182	0.6127017415
183	0.6123508708
184	0.6121215007
185	0.6117036133
186	0.6113232422
187	0.6110326742
188	0.6106812337
189	0.6104064128
190	0.6101902669
191	0.609883138
192	0.6094874268
193	0.6092929688
194	0.6090931396
195	0.6090270182
196	0.6087763672
197	0.6085512288
198	0.60821993
199	0.6081078695
200	0.6079030762
201	0.6075830078
202	0.6072406006
203	0.6071028239
204	0.6068622233
205	0.606546875
206	0.6062541504
207	0.6058035482
208	0.6056638997
209	0.6054480387
210	0.6050756429
211	0.6047946777
212	0.6046015625
213	0.6043737793
214	0.604077596
215	0.6037955729
216	0.6036519368
217	0.6033348796
218	0.6031090088
219	0.6029265137
220	0.6027474365
221	0.6025769043
222	0.6022244059
223	0.601898234
224	0.601651123
225	0.6014664714
226	0.6012077637
227	0.6007545573
228	0.6004717204
229	0.6002574463
230	0.6000447591
231	0.5997344564
232	0.599455363
233	0.5991680094
234	0.5987681478
235	0.598375
236	0.5981679688
237	0.5978780518
238	0.597678304
239	0.597505778
240	0.5972819824
241	0.5971094971
242	0.5969502767
243	0.5967528076
244	0.5966361084
245	0.5964003906
246	0.5962141927
247	0.5958965658
248	0.595634847
249	0.5955052897
250	0.5952818197
251	0.5951463623
252	0.5949068197
253	0.5947015381
254	0.5942606608
255	0.5940699056
256	0.5936448161
257	0.5933221842
258	0.5930854899
259	0.5929427083
260	0.5926877848
261	0.5924278971
262	0.5922575277
263	0.5920491943
264	0.5917998454
265	0.5915374349
266	0.5912344971
267	0.591068807
268	0.5908305664
269	0.5905766195
270	0.59034375
271	0.5900881755
272	0.5899141439
273	0.5897306315
274	0.5895087484
275	0.5893878174
276	0.5891350098
277	0.5888966471
278	0.5886167806
279	0.5883809814
280	0.588186849
281	0.5880500081
282	0.5877325846
283	0.5874514567
284	0.5872526855
285	0.587070109
286	0.5866415202
287	0.5863330485
288	0.5861145833
289	0.5858972982
290	0.5856163737
291	0.5853367106
292	0.5851009115
293	0.5847849935
294	0.5846056315
295	0.5842460124
296	0.584127889
297	0.583786377
298	0.5835066732
299	0.5832420247
